P_NAME,HOST_NAME,DISCOVERY_METHOD,P_PERIOD,P_SEMI_MAJOR_AXIS,P_RADIUS,P_MASS,P_DENSITY,P_ECCENTRICITY,P_TEMP_EQUIL,P_INCLINATION,S_TEMPERATURE,S_RADIUS,S_MASS
11 Com b,11 Com,Radial Velocity,,1.21,,,,,,,,,2.6
11 Com b,11 Com,Radial Velocity,326.03,1.29,,,,0.231,,,4742,19,2.7
11 Com b,11 Com,Radial Velocity,323.21,1.178,,,,0.238,,,4874,13.76,2.09
11 UMi b,11 UMi,Radial Velocity,516.21997,1.53,,,,0.08,,,4213,29.79,2.78
11 UMi b,11 UMi,Radial Velocity,,1.51,,,,,,,,,1.7
11 UMi b,11 UMi,Radial Velocity,516.22,1.54,,,,0.08,,,4340,24.08,1.8
14 And b,14 And,Radial Velocity,186.76,0.775,,,,0,,,4888,11.55,1.78
14 And b,14 And,Radial Velocity,,0.68,,,,,,,,,1.2
14 And b,14 And,Radial Velocity,185.84,0.83,,,,0,,,4813,11,2.2
14 Her b,14 Her,Radial Velocity,1773.4,2.77,,,,0.369,,,,,
14 Her b,14 Her,Radial Velocity,1766,2.864,,,,0.359,,,5280,1,0.91
14 Her b,14 Her,Radial Velocity,1765.0389,2.774,,2559.47216,,0.373,,144.652,,,0.91
14 Her b,14 Her,Radial Velocity,1773.40002,2.93,,,,0.37,,,5338,0.93,0.9
14 Her b,14 Her,Radial Velocity,1796.4,2.8,,,,0.338,,,5255,,0.9
14 Her b,14 Her,Radial Velocity,1766.41,2.83,,,,0.3674,,,5314.94,1,0.97
14 Her b,14 Her,Radial Velocity,1724,2.82,,,,0.37,,,,,1
14 Her b,14 Her,Radial Velocity,,2.73,,,,0.357,,,,,0.9
16 Cyg B b,16 Cyg B,Radial Velocity,799.45,1.676,,,,0.6832,,,5711.97,1.16,0.98
16 Cyg B b,16 Cyg B,Radial Velocity,798.5,1.681,,,,0.681,,,5674,,0.99
16 Cyg B b,16 Cyg B,Radial Velocity,800.8,1.6,,,,0.634,,,5760,,1
